"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"2008","4","3","4","642","645","1032","1020","DL","1747","N67171","350","335","331","12","-3","BOS","SLC","2105","5","14","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1114","1110","1217","1223","DL","1747","N67171","123","133","101","-6","4","SLC","SEA","689","9","13","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","607","615","829","837","DL","1748","N916DN","82","82","61","-8","-8","RNO","SLC","422","6","15","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","959","1005","1547","1550","DL","1748","N916DN","228","225","193","-3","-6","SLC","PIT","1659","4","31","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1657","1700","2039","2028","DL","1749","N6701","342","328","312","11","-3","BOS","SLC","2105","8","22","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","2129","2125","2208","2217","DL","1749","N6700","99","112","74","-9","4","SLC","SMF","532","7","18","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1103","1110","1146","1204","DL","1750","N913DN","103","114","85","-18","-7","SLC","SNA","588","5","13","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1325","1325","1419","1425","DL","1751","N975DL","114","120","94","-6","0","ATL","ORD","606","8","12","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1100","1105","1333","1349","DL","1752","N642DL","153","164","131","-16","-5","MCO","LGA","950","11","11","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1550","1545","1857","1851","DL","1753","N394DA","187","186","158","6","5","JFK","TPA","1005","4","25","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1226","1150","1454","1337","DL","1754","N980DL","148","107","109","77","36","RSW","ATL","515","14","25","0","","0","0","0","41","0","36"
"2008","4","3","4","1428","1430","1539","1554","DL","1754","N906DE","71","84","51","-15","-2","ATL","RDU","356","3","17","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","2213","2010","18","2205","DL","1758","N663DN","125","115","81","133","123","ATL","BWI","576","11","33","0","","0","123","0","10","0","0"
"2008","4","3","4","749","750","1037","1043","DL","1759","N915DN","108","113","89","-6","-1","SNA","SLC","588","5","14","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1139","1145","1159","1209","DL","1759","N915DN","80","84","59","-10","-6","SLC","RNO","422","7","14","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1410","1415","1600","1606","DL","1760","N906DA","170","171","151","-6","-5","MSP","SLC","991","5","14","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1659","1700","1754","1752","DL","1760","N914DN","115","112","81","2","-1","SLC","SNA","588","8","26","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1250","1233","1407","1356","DL","1761","N129DL","77","83","58","11","17","ATL","TPA","406","6","13","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1709","1709","1956","1927","DL","1762","N952DL","107","78","67","29","0","MEM","ATL","332","10","30","0","","0","0","0","29","0","0"
"2008","4","3","4","1446","1450","1738","1751","DL","1763","N658DL","172","181","145","-13","-4","BDL","MCO","1050","7","20","0","","0","NA","NA","NA","NA","NA"
"2008","4","3","4","1344","1310","1837","1757","DL","1765","N681DA","173","167","135","40","34","DEN","ATL","1199","15","23","0","","0","0","0","6","0","34"
"2008","4","3","4","2005","1855","2148","2035","DL","1765","N626DL","103","100","73","73","70","ATL","PBI","545","5","25","0","","0","0","0","3","0","70"
